2025-10-09 08:00:37,083 - WARNING - Failed to fetch port stats for switch 16, using defaults
2025-10-09 08:00:37,366 - INFO - Graph updated: 96 nodes, 112 edges
2025-10-09 08:00:37,366 - ERROR - Failed to generate initial network features: invalid literal for int() with base 10: '000000000000001a'
2025-10-09 08:01:16,108 - INFO - Fetched switches: 48 switches
2025-10-09 08:01:16,110 - INFO - Fetched links: 112 links
2025-10-09 08:01:16,111 - INFO - Fetched hosts: 48 hosts
2025-10-09 08:01:16,114 - WARNING - Failed to fetch port stats for switch 26, using defaults
2025-10-09 08:01:16,126 - WARNING - Failed to fetch port stats for switch 31, using defaults
2025-10-09 08:01:16,168 - WARNING - Failed to fetch port stats for switch 11, using defaults
2025-10-09 08:01:16,184 - WARNING - Failed to fetch port stats for switch 20, using defaults
2025-10-09 08:01:16,203 - WARNING - Failed to fetch port stats for switch 37, using defaults
2025-10-09 08:01:16,220 - WARNING - Failed to fetch port stats for switch 36, using defaults
2025-10-09 08:01:16,238 - WARNING - Failed to fetch port stats for switch 23, using defaults
2025-10-09 08:01:16,252 - WARNING - Failed to fetch port stats for switch 2, using defaults
2025-10-09 08:01:16,301 - WARNING - Failed to fetch port stats for switch 17, using defaults
2025-10-09 08:01:16,370 - WARNING - Failed to fetch port stats for switch 1, using defaults
2025-10-09 08:01:16,394 - WARNING - Failed to fetch port stats for switch 39, using defaults
2025-10-09 08:01:16,409 - WARNING - Failed to fetch port stats for switch 18, using defaults
2025-10-09 08:01:16,478 - WARNING - Failed to fetch port stats for switch 41, using defaults
2025-10-09 08:01:16,543 - WARNING - Failed to fetch port stats for switch 12, using defaults
2025-10-09 08:01:16,574 - WARNING - Failed to fetch port stats for switch 46, using defaults
2025-10-09 08:01:16,639 - WARNING - Failed to fetch port stats for switch 4, using defaults
2025-10-09 08:01:16,662 - WARNING - Failed to fetch port stats for switch 28, using defaults
2025-10-09 08:01:16,678 - WARNING - Failed to fetch port stats for switch 38, using defaults
2025-10-09 08:01:16,694 - WARNING - Failed to fetch port stats for switch 45, using defaults
2025-10-09 08:01:16,777 - WARNING - Failed to fetch port stats for switch 27, using defaults
2025-10-09 08:01:16,804 - WARNING - Failed to fetch port stats for switch 19, using defaults
2025-10-09 08:01:16,836 - WARNING - Failed to fetch port stats for switch 5, using defaults
2025-10-09 08:01:16,854 - WARNING - Failed to fetch port stats for switch 47, using defaults
2025-10-09 08:01:16,925 - WARNING - Failed to fetch port stats for switch 24, using defaults
2025-10-09 08:01:16,942 - WARNING - Failed to fetch port stats for switch 25, using defaults
2025-10-09 08:01:17,018 - WARNING - Failed to fetch port stats for switch 43, using defaults
2025-10-09 08:01:17,086 - WARNING - Failed to fetch port stats for switch 40, using defaults
2025-10-09 08:01:17,119 - WARNING - Failed to fetch port stats for switch 15, using defaults
2025-10-09 08:01:17,136 - WARNING - Failed to fetch port stats for switch 34, using defaults
2025-10-09 08:01:17,207 - WARNING - Failed to fetch port stats for switch 6, using defaults
2025-10-09 08:01:17,221 - WARNING - Failed to fetch port stats for switch 44, using defaults
